menu_name,mlid,plid,link_path,router_path,link_title,options,module,hidden,external,has_children,expanded,weight,depth,customized,p1,p2,p3,p4,p5,p6,p7,p8,p9,updated
management,1,0,admin,admin,Administration,b'a:0:{}',system,0,0,1,0,9,1,0,1,0,0,0,0,0,0,0,0,0
user-menu,2,0,user,user,User account,"b'a:2:{s:5:""alter"";b:1;s:10:""identifier"";s:27:""user-menu_user-account:user"";}'",system,1,0,0,0,-10,1,1,2,0,0,0,0,0,0,0,0,0
navigation,3,0,filter/tips,filter/tips,Compose tips,b'a:0:{}',system,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
navigation,4,0,node/%,node/%,,b'a:0:{}',system,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
navigation,5,0,node/add,node/add,Add content,b'a:0:{}',system,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0
management,6,1,admin/appearance,admin/appearance,Appearance,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:33:""Select and configure your themes."";}}'",system,0,0,0,0,-6,2,0,1,6,0,0,0,0,0,0,0,0
management,7,1,admin/config,admin/config,Configuration,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:20:""Administer settings."";}}'",system,0,0,1,0,0,2,0,1,7,0,0,0,0,0,0,0,0
user-menu,8,2,user/register,user/register,Create new account,b'a:0:{}',system,-1,0,0,0,0,2,0,2,8,0,0,0,0,0,0,0,0
management,9,1,admin/index,admin/index,Index,b'a:0:{}',system,-1,0,0,0,-18,2,0,1,9,0,0,0,0,0,0,0,0
user-menu,10,2,user/login,user/login,Log in,b'a:0:{}',system,-1,0,0,0,0,2,0,2,10,0,0,0,0,0,0,0,0
user-menu,11,0,user/logout,user/logout,Log out,b'a:0:{}',system,0,0,0,0,10,1,0,11,0,0,0,0,0,0,0,0,0
management,12,1,admin/modules,admin/modules,Modules,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:26:""Extend site functionality."";}}'",system,0,0,0,0,-2,2,0,1,12,0,0,0,0,0,0,0,0
navigation,13,0,user/%,user/%,My account,b'a:0:{}',system,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0
management,14,1,admin/reports,admin/reports,Reports,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:34:""View reports, updates, and errors."";}}'",system,0,0,1,0,5,2,0,1,14,0,0,0,0,0,0,0,0
user-menu,15,2,user/password,user/password,Request new password,b'a:0:{}',system,-1,0,0,0,0,2,0,2,15,0,0,0,0,0,0,0,0
management,16,1,admin/structure,admin/structure,Structure,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:45:""Administer blocks, content types, menus, etc."";}}'",system,0,0,1,0,-8,2,0,1,16,0,0,0,0,0,0,0,0
management,17,1,admin/tasks,admin/tasks,Tasks,b'a:0:{}',system,-1,0,0,0,-20,2,0,1,17,0,0,0,0,0,0,0,0
management,18,1,admin/content,admin/content,Content,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:24:""Find and manage content."";}}'",system,0,0,1,0,-10,2,0,1,18,0,0,0,0,0,0,0,0
management,19,1,admin/people,admin/people,People,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:45:""Manage user accounts, roles, and permissions."";}}'",system,0,0,0,0,-4,2,0,1,19,0,0,0,0,0,0,0,0
management,20,19,admin/people/create,admin/people/create,Add user,b'a:0:{}',system,-1,0,0,0,0,3,0,1,19,20,0,0,0,0,0,0,0
management,21,7,admin/config/administration,admin/config/administration,Administration,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:21:""Administration tools."";}}'",system,0,0,1,0,0,3,0,1,7,21,0,0,0,0,0,0,0
management,22,16,admin/structure/block,admin/structure/block,Blocks,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:79:""Configure what block content appears in your site\'s sidebars and other regions."";}}'",system,0,0,1,0,0,3,0,1,16,22,0,0,0,0,0,0,0
navigation,23,13,user/%/cancel,user/%/cancel,Cancel account,b'a:0:{}',system,0,0,1,0,0,2,0,13,23,0,0,0,0,0,0,0,0
management,24,18,admin/content/node,admin/content/node,Content,b'a:0:{}',system,-1,0,0,0,-10,3,0,1,18,24,0,0,0,0,0,0,0
management,25,7,admin/config/content,admin/config/content,Content authoring,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:53:""Settings related to formatting and authoring content."";}}'",system,0,0,1,0,-15,3,0,1,7,25,0,0,0,0,0,0,0
management,26,16,admin/structure/types,admin/structure/types,Content types,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:92:""Manage content types, including default status, front page promotion, comment settings, etc."";}}'",system,0,0,1,0,0,3,0,1,16,26,0,0,0,0,0,0,0
navigation,27,4,node/%/delete,node/%/delete,Delete,b'a:0:{}',system,-1,0,0,0,1,2,0,4,27,0,0,0,0,0,0,0,0
management,28,7,admin/config/development,admin/config/development,Development,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:18:""Development tools."";}}'",system,0,0,1,0,-10,3,0,1,7,28,0,0,0,0,0,0,0
navigation,29,13,user/%/edit,user/%/edit,Edit,b'a:0:{}',system,-1,0,0,0,0,2,0,13,29,0,0,0,0,0,0,0,0
navigation,30,4,node/%/edit,node/%/edit,Edit,b'a:0:{}',system,-1,0,0,0,0,2,0,4,30,0,0,0,0,0,0,0,0
management,31,6,admin/appearance/list,admin/appearance/list,List,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:31:""Select and configure your theme"";}}'",system,-1,0,0,0,-1,3,0,1,6,31,0,0,0,0,0,0,0
management,32,12,admin/modules/list,admin/modules/list,List,b'a:0:{}',system,-1,0,0,0,0,3,0,1,12,32,0,0,0,0,0,0,0
management,33,19,admin/people/people,admin/people/people,List,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:50:""Find and manage people interacting with your site."";}}'",system,-1,0,0,0,-10,3,0,1,19,33,0,0,0,0,0,0,0
management,34,7,admin/config/media,admin/config/media,Media,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:12:""Media tools."";}}'",system,0,0,1,0,-10,3,0,1,7,34,0,0,0,0,0,0,0
management,35,16,admin/structure/menu,admin/structure/menu,Menus,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:86:""Add new menus to your site, edit existing menus, and rename and reorganize menu links."";}}'",system,0,0,1,0,0,3,0,1,16,35,0,0,0,0,0,0,0
management,36,16,admin/structure/pages,admin/structure/pages,Pages,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:84:""Add, edit and remove overridden system pages and user defined pages from the system."";}}'",system,0,0,1,0,0,3,0,1,16,36,0,0,0,0,0,0,0
management,37,16,admin/structure/panels,admin/structure/panels,Panels,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:49:""Get a bird\'s eye view of items related to Panels."";}}'",system,0,0,0,0,0,3,0,1,16,37,0,0,0,0,0,0,0
management,38,7,admin/config/people,admin/config/people,People,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:24:""Configure user accounts."";}}'",system,0,0,1,0,-20,3,0,1,7,38,0,0,0,0,0,0,0
management,39,19,admin/people/permissions,admin/people/permissions,Permissions,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:64:""Determine access to features by selecting permissions for roles."";}}'",system,-1,0,0,0,0,3,0,1,19,39,0,0,0,0,0,0,0
management,40,14,admin/reports/dblog,admin/reports/dblog,Recent log messages,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:43:""View events that have recently been logged."";}}'",system,0,0,0,0,-1,3,0,1,14,40,0,0,0,0,0,0,0
management,41,7,admin/config/regional,admin/config/regional,Regional and language,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:48:""Regional settings, localization and translation."";}}'",system,0,0,1,0,-5,3,0,1,7,41,0,0,0,0,0,0,0
navigation,42,4,node/%/revisions,node/%/revisions,Revisions,b'a:0:{}',system,-1,0,1,0,2,2,0,4,42,0,0,0,0,0,0,0,0
management,43,7,admin/config/search,admin/config/search,Search and metadata,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:36:""Local site search, metadata and SEO."";}}'",system,0,0,1,0,-10,3,0,1,7,43,0,0,0,0,0,0,0
management,44,6,admin/appearance/settings,admin/appearance/settings,Settings,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:46:""Configure default and theme specific settings."";}}'",system,-1,0,0,0,20,3,0,1,6,44,0,0,0,0,0,0,0
management,45,14,admin/reports/status,admin/reports/status,Status report,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:74:""Get a status report about your site\'s operation and any detected problems."";}}'",system,0,0,0,0,-60,3,0,1,14,45,0,0,0,0,0,0,0
management,46,7,admin/config/system,admin/config/system,System,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:37:""General system related configuration."";}}'",system,0,0,1,0,-20,3,0,1,7,46,0,0,0,0,0,0,0
management,47,14,admin/reports/access-denied,admin/reports/access-denied,Top 'access denied' errors,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:35:""View \'access denied\' errors (403s)."";}}'",system,0,0,0,0,0,3,0,1,14,47,0,0,0,0,0,0,0
management,48,14,admin/reports/page-not-found,admin/reports/page-not-found,Top 'page not found' errors,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:36:""View \'page not found\' errors (404s)."";}}'",system,0,0,0,0,0,3,0,1,14,48,0,0,0,0,0,0,0
management,49,12,admin/modules/uninstall,admin/modules/uninstall,Uninstall,b'a:0:{}',system,-1,0,0,0,20,3,0,1,12,49,0,0,0,0,0,0,0
management,50,7,admin/config/user-interface,admin/config/user-interface,User interface,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:38:""Tools that enhance the user interface."";}}'",system,0,0,1,0,-15,3,0,1,7,50,0,0,0,0,0,0,0
navigation,51,4,node/%/view,node/%/view,View,b'a:0:{}',system,-1,0,0,0,-10,2,0,4,51,0,0,0,0,0,0,0,0
navigation,52,13,user/%/view,user/%/view,View,b'a:0:{}',system,-1,0,0,0,-10,2,0,13,52,0,0,0,0,0,0,0,0
management,53,7,admin/config/services,admin/config/services,Web services,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:30:""Tools related to web services."";}}'",system,0,0,1,0,0,3,0,1,7,53,0,0,0,0,0,0,0
management,54,7,admin/config/workflow,admin/config/workflow,Workflow,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:43:""Content workflow, editorial workflow tools."";}}'",system,0,0,0,0,5,3,0,1,7,54,0,0,0,0,0,0,0
management,55,38,admin/config/people/accounts,admin/config/people/accounts,Account settings,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:109:""Configure default behavior of users, including registration requirements, e-mails, fields, and user pictures."";}}'",system,0,0,0,0,-10,4,0,1,7,38,55,0,0,0,0,0,0
management,56,46,admin/config/system/actions,admin/config/system/actions,Actions,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:41:""Manage the actions defined for your site."";}}'",system,0,0,1,0,0,4,0,1,7,46,56,0,0,0,0,0,0
management,57,22,admin/structure/block/add,admin/structure/block/add,Add block,b'a:0:{}',system,-1,0,0,0,0,4,0,1,16,22,57,0,0,0,0,0,0
management,58,26,admin/structure/types/add,admin/structure/types/add,Add content type,b'a:0:{}',system,-1,0,0,0,0,4,0,1,16,26,58,0,0,0,0,0,0
management,59,36,admin/structure/pages/add,admin/structure/pages/add,Add custom page,b'a:0:{}',system,-1,0,0,0,0,4,0,1,16,36,59,0,0,0,0,0,0
management,60,35,admin/structure/menu/add,admin/structure/menu/add,Add menu,b'a:0:{}',system,-1,0,0,0,0,4,0,1,16,35,60,0,0,0,0,0,0
management,61,21,admin/config/administration/admin_menu,admin/config/administration/admin_menu,Administration menu,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:36:""Adjust administration menu settings."";}}'",system,0,0,0,0,0,4,0,1,7,21,61,0,0,0,0,0,0
management,62,44,admin/appearance/settings/bartik,admin/appearance/settings/bartik,Bartik,b'a:0:{}',system,-1,0,0,0,0,4,0,1,6,44,62,0,0,0,0,0,0
management,63,44,admin/appearance/settings/bootstrap,admin/appearance/settings/bootstrap,Bootstrap,b'a:0:{}',system,-1,0,0,0,0,4,0,1,6,44,63,0,0,0,0,0,0
management,64,43,admin/config/search/clean-urls,admin/config/search/clean-urls,Clean URLs,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:43:""Enable or disable clean URLs for your site."";}}'",system,0,0,0,0,5,4,0,1,7,43,64,0,0,0,0,0,0
management,65,46,admin/config/system/cron,admin/config/system/cron,Cron,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:40:""Manage automatic site maintenance tasks."";}}'",system,0,0,0,0,20,4,0,1,7,46,65,0,0,0,0,0,0
management,66,37,admin/structure/panels/dashboard,admin/structure/panels/dashboard,Dashboard,b'a:0:{}',system,-1,0,0,0,-10,4,0,1,16,37,66,0,0,0,0,0,0
management,67,41,admin/config/regional/date-time,admin/config/regional/date-time,Date and time,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:44:""Configure display formats for date and time."";}}'",system,0,0,0,0,-15,4,0,1,7,41,67,0,0,0,0,0,0
management,68,14,admin/reports/event/%,admin/reports/event/%,Details,b'a:0:{}',system,0,0,0,0,0,3,0,1,14,68,0,0,0,0,0,0,0
management,69,34,admin/config/media/file-system,admin/config/media/file-system,File system,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:68:""Tell Drupal where to store uploaded files and how they are accessed."";}}'",system,0,0,0,0,-10,4,0,1,7,34,69,0,0,0,0,0,0
management,70,44,admin/appearance/settings/garland,admin/appearance/settings/garland,Garland,b'a:0:{}',system,-1,0,0,0,0,4,0,1,6,44,70,0,0,0,0,0,0
management,71,44,admin/appearance/settings/global,admin/appearance/settings/global,Global settings,b'a:0:{}',system,-1,0,0,0,-1,4,0,1,6,44,71,0,0,0,0,0,0
management,72,44,admin/appearance/settings/haskala_theme,admin/appearance/settings/haskala_theme,Haskala Bootstrap Sub-theme,b'a:0:{}',system,-1,0,0,0,0,4,0,1,6,44,72,0,0,0,0,0,0
management,73,38,admin/config/people/ip-blocking,admin/config/people/ip-blocking,IP address blocking,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:28:""Manage blocked IP addresses."";}}'",system,0,0,1,0,10,4,0,1,7,38,73,0,0,0,0,0,0
management,74,34,admin/config/media/image-toolkit,admin/config/media/image-toolkit,Image toolkit,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:74:""Choose which image toolkit to use if you have installed optional toolkits."";}}'",system,0,0,0,0,20,4,0,1,7,34,74,0,0,0,0,0,0
management,75,36,admin/structure/pages/import,admin/structure/pages/import,Import page,b'a:0:{}',system,-1,0,0,0,0,4,0,1,16,36,75,0,0,0,0,0,0
management,77,32,admin/modules/list/confirm,admin/modules/list/confirm,List,b'a:0:{}',system,-1,0,0,0,0,4,0,1,12,32,77,0,0,0,0,0,0
management,78,26,admin/structure/types/list,admin/structure/types/list,List,b'a:0:{}',system,-1,0,0,0,-10,4,0,1,16,26,78,0,0,0,0,0,0
management,79,36,admin/structure/pages/list,admin/structure/pages/list,List,b'a:0:{}',system,-1,0,0,0,-10,4,0,1,16,36,79,0,0,0,0,0,0
management,80,35,admin/structure/menu/list,admin/structure/menu/list,List menus,b'a:0:{}',system,-1,0,0,0,-10,4,0,1,16,35,80,0,0,0,0,0,0
management,81,28,admin/config/development/logging,admin/config/development/logging,Logging and errors,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:154:""Settings for logging and alerts modules. Various modules can route Drupal\'s system events to different destinations, such as syslog, database, email, etc."";}}'",system,0,0,0,0,-15,4,0,1,7,28,81,0,0,0,0,0,0
management,82,28,admin/config/development/maintenance,admin/config/development/maintenance,Maintenance mode,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:62:""Take the site offline for maintenance or bring it back online."";}}'",system,0,0,0,0,-10,4,0,1,7,28,82,0,0,0,0,0,0
management,83,28,admin/config/development/performance,admin/config/development/performance,Performance,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:101:""Enable or disable page caching for anonymous users and set CSS and JS bandwidth optimization options."";}}'",system,0,0,0,0,-20,4,0,1,7,28,83,0,0,0,0,0,0
management,84,39,admin/people/permissions/list,admin/people/permissions/list,Permissions,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:64:""Determine access to features by selecting permissions for roles."";}}'",system,-1,0,0,0,-8,4,0,1,19,39,84,0,0,0,0,0,0
management,85,53,admin/config/services/rss-publishing,admin/config/services/rss-publishing,RSS publishing,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:114:""Configure the site description, the number of items per feed and whether feeds should be titles/teasers/full-text."";}}'",system,0,0,0,0,0,4,0,1,7,53,85,0,0,0,0,0,0
management,86,41,admin/config/regional/settings,admin/config/regional/settings,Regional settings,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:54:""Settings for the site\'s default time zone and country."";}}'",system,0,0,0,0,-20,4,0,1,7,41,86,0,0,0,0,0,0
management,87,39,admin/people/permissions/roles,admin/people/permissions/roles,Roles,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:30:""List, edit, or add user roles."";}}'",system,-1,0,1,0,-5,4,0,1,19,39,87,0,0,0,0,0,0
management,88,35,admin/structure/menu/settings,admin/structure/menu/settings,Settings,b'a:0:{}',system,-1,0,0,0,5,4,0,1,16,35,88,0,0,0,0,0,0
management,89,37,admin/structure/panels/settings,admin/structure/panels/settings,Settings,b'a:0:{}',system,-1,0,0,0,0,4,0,1,16,37,89,0,0,0,0,0,0
management,90,44,admin/appearance/settings/seven,admin/appearance/settings/seven,Seven,b'a:0:{}',system,-1,0,0,0,0,4,0,1,6,44,90,0,0,0,0,0,0
management,91,46,admin/config/system/site-information,admin/config/system/site-information,Site information,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:104:""Change site name, e-mail address, slogan, default front page, and number of posts per page, error pages."";}}'",system,0,0,0,0,-20,4,0,1,7,46,91,0,0,0,0,0,0
management,92,44,admin/appearance/settings/stark,admin/appearance/settings/stark,Stark,b'a:0:{}',system,-1,0,0,0,0,4,0,1,6,44,92,0,0,0,0,0,0
management,93,25,admin/config/content/formats,admin/config/content/formats,Text formats,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:127:""Configure how content input by users is filtered, including allowed HTML tags. Also allows enabling of module-provided filters."";}}'",system,0,0,1,0,0,4,0,1,7,25,93,0,0,0,0,0,0
management,94,49,admin/modules/uninstall/confirm,admin/modules/uninstall/confirm,Uninstall,b'a:0:{}',system,-1,0,0,0,0,4,0,1,12,49,94,0,0,0,0,0,0
management,95,36,admin/structure/pages/wizard,admin/structure/pages/wizard,Wizards,b'a:0:{}',system,-1,0,0,0,-5,4,0,1,16,36,95,0,0,0,0,0,0
navigation,96,29,user/%/edit/account,user/%/edit/account,Account,b'a:0:{}',system,-1,0,0,0,0,3,0,13,29,96,0,0,0,0,0,0,0
management,97,93,admin/config/content/formats/%,admin/config/content/formats/%,,b'a:0:{}',system,0,0,1,0,0,5,0,1,7,25,93,97,0,0,0,0,0
management,99,93,admin/config/content/formats/add,admin/config/content/formats/add,Add text format,b'a:0:{}',system,-1,0,0,0,1,5,0,1,7,25,93,99,0,0,0,0,0
management,100,22,admin/structure/block/list/bartik,admin/structure/block/list/bartik,Bartik,b'a:0:{}',system,-1,0,0,0,0,4,0,1,16,22,100,0,0,0,0,0,0
management,101,22,admin/structure/block/list/bootstrap,admin/structure/block/list/bootstrap,Bootstrap,b'a:0:{}',system,-1,0,0,0,0,4,0,1,16,22,101,0,0,0,0,0,0
management,102,56,admin/config/system/actions/configure,admin/config/system/actions/configure,Configure an advanced action,b'a:0:{}',system,-1,0,0,0,0,5,0,1,7,46,56,102,0,0,0,0,0
management,103,35,admin/structure/menu/manage/%,admin/structure/menu/manage/%,Customize menu,b'a:0:{}',system,0,0,1,0,0,4,0,1,16,35,103,0,0,0,0,0,0
management,104,36,admin/structure/pages/edit/%,admin/structure/pages/edit/%,Edit,b'a:0:{}',system,0,0,0,0,0,4,0,1,16,36,104,0,0,0,0,0,0
management,105,26,admin/structure/types/manage/%,admin/structure/types/manage/%,Edit content type,b'a:0:{}',system,0,0,1,0,0,4,0,1,16,26,105,0,0,0,0,0,0
management,106,67,admin/config/regional/date-time/formats,admin/config/regional/date-time/formats,Formats,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:51:""Configure display format strings for date and time."";}}'",system,-1,0,1,0,-9,5,0,1,7,41,67,106,0,0,0,0,0
management,107,22,admin/structure/block/list/garland,admin/structure/block/list/garland,Garland,b'a:0:{}',system,-1,0,0,0,0,4,0,1,16,22,107,0,0,0,0,0,0
management,108,89,admin/structure/panels/settings/general,admin/structure/panels/settings/general,General,b'a:0:{}',system,-1,0,0,0,-10,5,0,1,16,37,89,108,0,0,0,0,0
management,109,22,admin/structure/block/list/haskala_theme,admin/structure/block/list/haskala_theme,Haskala Bootstrap Sub-theme,b'a:0:{}',system,-1,0,0,0,-10,4,0,1,16,22,109,0,0,0,0,0,0
management,112,93,admin/config/content/formats/list,admin/config/content/formats/list,List,b'a:0:{}',system,-1,0,0,0,0,5,0,1,7,25,93,112,0,0,0,0,0
management,113,56,admin/config/system/actions/manage,admin/config/system/actions/manage,Manage actions,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:41:""Manage the actions defined for your site."";}}'",system,-1,0,0,0,-2,5,0,1,7,46,56,113,0,0,0,0,0
management,114,89,admin/structure/panels/settings/panel-page,admin/structure/panels/settings/panel-page,Panel pages,b'a:0:{}',system,-1,0,0,0,-10,5,0,1,16,37,89,114,0,0,0,0,0
management,115,55,admin/config/people/accounts/settings,admin/config/people/accounts/settings,Settings,b'a:0:{}',system,-1,0,0,0,-10,5,0,1,7,38,55,115,0,0,0,0,0
management,116,22,admin/structure/block/list/seven,admin/structure/block/list/seven,Seven,b'a:0:{}',system,-1,0,0,0,0,4,0,1,16,22,116,0,0,0,0,0,0
management,117,22,admin/structure/block/list/stark,admin/structure/block/list/stark,Stark,b'a:0:{}',system,-1,0,0,0,0,4,0,1,16,22,117,0,0,0,0,0,0
management,118,67,admin/config/regional/date-time/types,admin/config/regional/date-time/types,Types,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:44:""Configure display formats for date and time."";}}'",system,-1,0,1,0,-10,5,0,1,7,41,67,118,0,0,0,0,0
navigation,119,42,node/%/revisions/%/delete,node/%/revisions/%/delete,Delete earlier revision,b'a:0:{}',system,0,0,0,0,0,3,0,4,42,119,0,0,0,0,0,0,0
navigation,120,42,node/%/revisions/%/revert,node/%/revisions/%/revert,Revert to earlier revision,b'a:0:{}',system,0,0,0,0,0,3,0,4,42,120,0,0,0,0,0,0,0
navigation,121,42,node/%/revisions/%/view,node/%/revisions/%/view,Revisions,b'a:0:{}',system,0,0,0,0,0,3,0,4,42,121,0,0,0,0,0,0,0
management,122,101,admin/structure/block/list/bootstrap/add,admin/structure/block/list/bootstrap/add,Add block,b'a:0:{}',system,-1,0,0,0,0,5,0,1,16,22,101,122,0,0,0,0,0
management,123,107,admin/structure/block/list/garland/add,admin/structure/block/list/garland/add,Add block,b'a:0:{}',system,-1,0,0,0,0,5,0,1,16,22,107,123,0,0,0,0,0
management,125,116,admin/structure/block/list/seven/add,admin/structure/block/list/seven/add,Add block,b'a:0:{}',system,-1,0,0,0,0,5,0,1,16,22,116,125,0,0,0,0,0
management,126,117,admin/structure/block/list/stark/add,admin/structure/block/list/stark/add,Add block,b'a:0:{}',system,-1,0,0,0,0,5,0,1,16,22,117,126,0,0,0,0,0
management,127,118,admin/config/regional/date-time/types/add,admin/config/regional/date-time/types/add,Add date type,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:18:""Add new date type."";}}'",system,-1,0,0,0,-10,6,0,1,7,41,67,118,127,0,0,0,0
management,128,106,admin/config/regional/date-time/formats/add,admin/config/regional/date-time/formats/add,Add format,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:43:""Allow users to add additional date formats."";}}'",system,-1,0,0,0,-10,6,0,1,7,41,67,106,128,0,0,0,0
management,129,103,admin/structure/menu/manage/%/add,admin/structure/menu/manage/%/add,Add link,b'a:0:{}',system,-1,0,0,0,0,5,0,1,16,35,103,129,0,0,0,0,0
management,130,22,admin/structure/block/manage/%/%,admin/structure/block/manage/%/%,Configure block,b'a:0:{}',system,0,0,0,0,0,4,0,1,16,22,130,0,0,0,0,0,0
navigation,131,23,user/%/cancel/confirm/%/%,user/%/cancel/confirm/%/%,Confirm account cancellation,b'a:0:{}',system,0,0,0,0,0,3,0,13,23,131,0,0,0,0,0,0,0
management,132,105,admin/structure/types/manage/%/delete,admin/structure/types/manage/%/delete,Delete,b'a:0:{}',system,0,0,0,0,0,5,0,1,16,26,105,132,0,0,0,0,0
management,133,73,admin/config/people/ip-blocking/delete/%,admin/config/people/ip-blocking/delete/%,Delete IP address,b'a:0:{}',system,0,0,0,0,0,5,0,1,7,38,73,133,0,0,0,0,0
management,134,56,admin/config/system/actions/delete/%,admin/config/system/actions/delete/%,Delete action,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:17:""Delete an action."";}}'",system,0,0,0,0,0,5,0,1,7,46,56,134,0,0,0,0,0
management,135,103,admin/structure/menu/manage/%/delete,admin/structure/menu/manage/%/delete,Delete menu,b'a:0:{}',system,0,0,0,0,0,5,0,1,16,35,103,135,0,0,0,0,0
management,136,35,admin/structure/menu/item/%/delete,admin/structure/menu/item/%/delete,Delete menu link,b'a:0:{}',system,0,0,0,0,0,4,0,1,16,35,136,0,0,0,0,0,0
management,137,87,admin/people/permissions/roles/delete/%,admin/people/permissions/roles/delete/%,Delete role,b'a:0:{}',system,0,0,0,0,0,5,0,1,19,39,87,137,0,0,0,0,0
management,138,97,admin/config/content/formats/%/disable,admin/config/content/formats/%/disable,Disable text format,b'a:0:{}',system,0,0,0,0,0,6,0,1,7,25,93,97,138,0,0,0,0
management,139,105,admin/structure/types/manage/%/edit,admin/structure/types/manage/%/edit,Edit,b'a:0:{}',system,-1,0,0,0,0,5,0,1,16,26,105,139,0,0,0,0,0
management,140,36,admin/structure/pages/%/operation/%,admin/structure/pages/%/operation/%,,b'a:0:{}',system,0,0,0,0,0,4,0,1,16,36,140,0,0,0,0,0,0
management,141,103,admin/structure/menu/manage/%/edit,admin/structure/menu/manage/%/edit,Edit menu,b'a:0:{}',system,-1,0,0,0,0,5,0,1,16,35,103,141,0,0,0,0,0
management,142,35,admin/structure/menu/item/%/edit,admin/structure/menu/item/%/edit,Edit menu link,b'a:0:{}',system,0,0,0,0,0,4,0,1,16,35,142,0,0,0,0,0,0
management,143,87,admin/people/permissions/roles/edit/%,admin/people/permissions/roles/edit/%,Edit role,b'a:0:{}',system,0,0,0,0,0,5,0,1,19,39,87,143,0,0,0,0,0
management,144,103,admin/structure/menu/manage/%/list,admin/structure/menu/manage/%/list,List links,b'a:0:{}',system,-1,0,0,0,-10,5,0,1,16,35,103,144,0,0,0,0,0
management,145,35,admin/structure/menu/item/%/reset,admin/structure/menu/item/%/reset,Reset menu link,b'a:0:{}',system,0,0,0,0,0,4,0,1,16,35,145,0,0,0,0,0,0
management,146,130,admin/structure/block/manage/%/%/configure,admin/structure/block/manage/%/%/configure,Configure block,b'a:0:{}',system,-1,0,0,0,0,5,0,1,16,22,130,146,0,0,0,0,0
management,147,130,admin/structure/block/manage/%/%/delete,admin/structure/block/manage/%/%/delete,Delete block,b'a:0:{}',system,-1,0,0,0,0,5,0,1,16,22,130,147,0,0,0,0,0
